EP14	59.3257	-155.9036	56
EP15	58.9664	-155.0867	249
EP16	59.1126	-156.8567	43
EP21	58.212	-157.3769	46
EP22	57.9007	-155.7865	63
EP23	56.9071	-157.0201	39
ET17	58.6097	-156.265	51
ET18	58.5458	-155.788	60
ET19	58.3686	-155.4394	322
ET20	58.1304	-154.9716	965.5
KD00	57.4413	-152.4484	98
KD01	57.6401	-152.4375	79
KD02	57.8618	-152.6575	57
KD04	57.3042	-152.8497	34
KD05	57.8717	-153.4099	38
KD12	57.313	-154.6122	90
KS03	57.6133	-152.2353	45
KS11	57.1277	-153.0879	39
KS13	56.9472	-154.1729	45
KT06	57.6517	-154.0041	46
KT07	57.5375	-153.9814	38
KT08	57.443	-153.8149	41
KT09	57.348	-153.7945	47
KT10	57.295	-153.66	    43
LA29	54.2918	-157.3705	-4408
LA30	54.6727	-157.4203	-1564
LA32	54.4982	-157.8522	-1595
LA33	54.1528	-158.1143	-4478
LA34	54.0449	-158.5881	-4612
LA39	56.8827	-151.0011	-1628
LD35	54.2495	-158.872	-1993
LD36	55.2524	-155.7525	-935
LD40	56.3037	-152.4102	-1055
LD41	54.5219	-153.4074	-4284
LD44	53.8302	-159.7736	-4675
LD45	54.1025	-159.8829	-2019
LT01	56.7756	-152.5228	-156
LT03	57.8668	-154.1665	-202
LT04	56.1118	-154.4446	-157
LT07	56.6712	-156.1199	-262
LT09	55.1215	-157.1389	-151
LT10	55.6251	-157.3251	-98
LT12	55.207	-157.778	-83
LT13	54.8439	-158.3466	-203
LT15	55.2002	-158.3598	-167
LT17	54.5677	-160.2016	-114
LT20	54.8002	-161.3746	-150
WD48	56.627365	-151.731343	-1324
WD49	54.399083	-151.89947	-4091
WD50	55.449527	-152.391763	-4986.6
WD51	55.905087	-152.771768	-4361
WD52	54.046622	-159.346215	-2564
WD53	53.779448	-153.422908	-4646
WD54	56.331433	-149.066665	-4520
WD55	55.761625	-153.662817	-1284
WD57	54.736387	-154.434305	-5053
WD58	53.906227	-155.035345	-4493
WD60	52.644867	-156.579823	-4519
WD61	54.647613	-156.868282	-2067
WD65	52.899057	-158.91238	-4718
WD66	53.31452	-159.617565	-4941
WD67	52.162563	-160.035832	-4652
WD68	52.917603	-160.081145	-4715
WD69	53.782065	-160.34289	-3896
WD70	56.541073	-151.234407	-3253
WS71	56.15695	-153.078922	-1555
WS72	56.257748	-151.81063	-4148
WS74	54.369193	-159.361628	-903
WS75	54.17963	-160.256908	-1109
WP24	56.9241  	-158.6603	43
WP25	56.453  	-159.7563	47
WP30	56.001	   -161.2014	41
WS26	55.9123 	-159.1431	36
WS27	55.2236	   -159.9136	41
WS28	55.0746 	-162.2992	45
